Timestamp(ms),ID,Data
1755,8,08071e0572014001
1757,9,a406080268015401
1757,10,6c07e40786015e01
1855,11,08071e0572014001
1856,12,a406080268015401
1857,13,6c07e40786015e01
1955,170,5500000000000000
1956,17,33130000e5e67600
1957,256,1b3000000ff70000
2055,257,2c032c06ad880000
2056,272,171f6f131008140d
2056,15,7900000000000000
2155,172,0a4038ffc8000000
7158,0,9f00000002000000
12159,8,e006460568013601
12160,9,7c0630025e014a01
12161,10,44070c087c015401
12259,11,e006460568013601
12260,12,7c0630025e014a01
12261,13,44070c087c015401
12359,170,6900000000000000
12360,17,97130000c0986700
12361,256,eb370000accf1300
12459,257,f5039c04ae600000
12460,272,0a2b9f0b1a060a06
12461,15,4700000000000000
12559,172,7a3ec800d4fe0000
17562,0,b500000002000000
22563,8,08071e0572014001
22564,9,a406080268015401
22565,10,6c07e40786015e01
22663,11,08071e0572014001
22664,12,a406080268015401
22665,13,6c07e40786015e01
22763,170,5500000000000000
22764,17,33130000e5e67600
22765,256,1b3000000ff70000
22863,257,2c032c06ad880000
22864,272,171f6f131008140d
22865,15,7900000000000000
22963,172,0a4038ffc8000000
27966,0,8b00000000000000
32968,8,e006460568013601
32968,9,7c0630025e014a01
32969,10,44070c087c015401
33068,11,e006460568013601
33068,12,7c0630025e014a01
33069,13,44070c087c015401
33168,170,6900000000000000
33168,17,97130000c0986700
33169,256,eb370000accf1300
33268,257,f5039c04ae600000
33268,272,0a2b9f0b1a060a06
33269,15,4700000000000000
33368,172,7a3ec800d4fe0000
